项目编码,项目名称,商务开累产值不含税,商务开累产值含税,商务本年产值不含税,商务本年产值含税,商务开累成本,商务本年成本
U_ORG_XM_QDHFSJ,青岛华发四季,283300789.2491339,308787077.08916867,55329237.7289472,60293423.843480825,266994568.7145121,52182407.34784106
U_ORG_XM_QDHNJD,青岛华能信息产业基地机电,79516020.54408205,87009436.22480129,135945.92445592617,149540.51690342496,78965445.30000001,134923.7399999999
U_ORG_XM_QDTKZJ,青岛泰康之家养老,28401.096774741603,30957.195483505602,28401.096774741603,30957.195483505602,26413.02,26413.02
U_ORG_XM_QDWKFCZJ,青岛万科翡翠长江,305262931.1044625,332736594.90428567,24094230.52079579,26262711.267680954,293623805.3688869,23172790.09
U_ORG_XM_QDYGYH,青岛阳光·壹号,12327271.370279402,13436725.793642424,12327271.370279402,13436725.793642424,11307299.280000001,11307299.280000001
U_ORG_XM_QHBT,北京清华大学北体育馆,208571922.52044907,227579120.1535203,59795391.78791757,65457781.22657095,204419905.17000002,59042991.05
U_ORG_XM_QHDLDBDT,秦皇岛礼鼎高端集成电路封装载板智能制造基地,2118644.164938909,2309322.1397238043,2118644.164938909,2309322.1397238043,2105932.3,2105932.3
U_ORG_XM_QZSABDT,泉州三安半导体研发与产业化,556809864.5197741,608879019.6646165,25639287.760991294,28006190.818608653,536399853.887969,24527871.98
U_ORG_XM_RHALYEQ,杭州仁和阿里云计算数据中心二期,101353359.2006699,110475161.91917023,80270786.92131329,87495158.05345586,100167389.06990002,79331511.1399
U_ORG_XM_RJZX,北京如家北纬路店装修,899096.8202775454,980015.5341428075,350768.95679888997,382338.16292650584,896399.53,349716.65
U_ORG_XM_SCGAFY,四川广安富盈洋房及商业,136188549.68640587,140274206.17427337,11441489.433267998,11784734.115928438,133982619.90999997,11255581.159999998
U_ORG_XM_SCGCCYY,四川国际创新设计产业园A地块,234901628.39118007,256042774.94514045,163434586.96474928,178143699.79071975,234141058.33477005,162905960.06477
U_ORG_XM_SCTKXNYY,四川泰康西南医院,210285613.89267644,229211319.13900477,210285613.89267644,229211319.13900477,186690373.24593696,186690373.24593696
U_ORG_XM_SDBZZYY,山东滨州中医医院新院,393794843.6077688,433174327.9627541,72904975.81481245,80195473.39533311,384749992.72589123,71412429.264
U_ORG_XM_SDJCGZ,北京首都机场2号航站楼改造,236775396.37240195,238274452.5378366,145937.06765642017,147079.1864529639,212387743.4,156587.98
U_ORG_XM_SDRCGEJD,山东荣成歌尔电子4#厂房、2#动力中心机电,30758977.642550424,33355888.565959044,29151713.012627475,31614462.43068084,30468913.700000003,28879405.74
U_ORG_XM_SDYKDKYL,北京首都医科大学临床科研楼改造,3295557.93243804,3815095.4227326857,30810.01650124433,35667.14812421999,3265398.78,30528.05999999959
U_ORG_XM_SHGBSH,上海古北SOHO机电工程,139313710.71646357,143251827.33140314,1905856.965894165,1944487.583438966,138499075.22000003,1893404.7399999993
U_ORG_XM_SHGKBDT,上海格科半导体,139967853.56354055,152564960.38648888,139967853.56354055,152564960.38648888,138067412.49,138067412.49
